,player_id,batsman,line,length,runs_scored,balls_faced,dismissals,batting_average,batting_strike_rate,Country
0,253802,Virat Kohli,OUTSIDE_OFFSTUMP,GOOD_LENGTH,1864,1534,46,40.52,121.51,India
1,348144,Babar Azam,OUTSIDE_OFFSTUMP,GOOD_LENGTH,1594,1437,37,43.08,110.93,Pakistan
2,34102,Rohit Sharma,OUTSIDE_OFFSTUMP,GOOD_LENGTH,1519,1369,69,22.01,110.96,India
3,308967,Jos Buttler,OUTSIDE_OFFSTUMP,GOOD_LENGTH,1626,1292,34,47.82,125.85,England
4,422108,KL Rahul,OUTSIDE_OFFSTUMP,GOOD_LENGTH,1272,1159,39,32.62,109.75,India
5,44828,Faf du Plessis,OUTSIDE_OFFSTUMP,GOOD_LENGTH,1327,1134,45,29.49,117.02,South Africa
6,253802,Virat Kohli,ON_THE_STUMPS,GOOD_LENGTH,1336,1074,29,46.07,124.39,India
7,348144,Babar Azam,ON_THE_STUMPS,GOOD_LENGTH,1169,1047,31,37.71,111.65,Pakistan
8,323389,Mohammad Rizwan,OUTSIDE_OFFSTUMP,GOOD_LENGTH,1139,1004,38,29.97,113.45,Pakistan
9,44828,Faf du Plessis,ON_THE_STUMPS,GOOD_LENGTH,1215,1000,39,31.15,121.5,South Africa
10,28235,Shikhar Dhawan,OUTSIDE_OFFSTUMP,GOOD_LENGTH,1182,982,38,31.11,120.37,India
11,277906,Kane Williamson,OUTSIDE_OFFSTUMP,GOOD_LENGTH,1008,950,30,33.6,106.11,New Zealand
12,42657,Shoaib Malik,OUTSIDE_OFFSTUMP,GOOD_LENGTH,1100,931,42,26.19,118.15,Pakistan
13,219889,David Warner,ON_THE_STUMPS,GOOD_LENGTH,999,914,34,29.38,109.3,Australia
14,28235,Shikhar Dhawan,ON_THE_STUMPS,GOOD_LENGTH,1028,885,36,28.56,116.16,India
15,253802,Virat Kohli,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,971,868,26,37.35,111.87,India
16,308967,Jos Buttler,ON_THE_STUMPS,GOOD_LENGTH,1048,854,41,25.56,122.72,England
17,249866,Alex Hales,OUTSIDE_OFFSTUMP,GOOD_LENGTH,1068,849,38,28.11,125.8,England
18,232359,Colin Munro,ON_THE_STUMPS,GOOD_LENGTH,1035,846,46,22.5,122.34,New Zealand
19,325026,Glenn Maxwell,OUTSIDE_OFFSTUMP,GOOD_LENGTH,1104,845,39,28.31,130.65,Australia
20,348144,Babar Azam,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,1095,843,27,40.56,129.89,Pakistan
21,325012,Marcus Stoinis,OUTSIDE_OFFSTUMP,GOOD_LENGTH,947,841,33,28.7,112.6,Australia
22,5334,Aaron Finch,OUTSIDE_OFFSTUMP,GOOD_LENGTH,887,841,43,20.63,105.47,Australia
23,379143,Quinton de Kock,OUTSIDE_OFFSTUMP,GOOD_LENGTH,996,827,30,33.2,120.44,South Africa
24,446507,Suryakumar Yadav,OUTSIDE_OFFSTUMP,GOOD_LENGTH,999,816,30,33.3,122.43,India
25,422108,KL Rahul,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,1002,812,23,43.57,123.4,India
26,232359,Colin Munro,OUTSIDE_OFFSTUMP,GOOD_LENGTH,1015,809,23,44.13,125.46,New Zealand
27,422108,KL Rahul,ON_THE_STUMPS,GOOD_LENGTH,885,801,23,38.48,110.49,India
28,379143,Quinton de Kock,ON_THE_STUMPS,GOOD_LENGTH,971,800,39,24.9,121.38,South Africa
