,player_id,batsman,shot,runs_scored,balls_faced,dismissals,batting_average,batting_strike_rate
302,267192,Steven Smith,ON_DRIVE,514,395,10,51.4,130.13
303,536936,Litton Das,PULL,512,231,22,23.27,221.65
304,325012,Marcus Stoinis,CUT_SHOT,511,349,14,36.5,146.42
305,236489,Dawid Malan,PULL,511,284,14,36.5,179.93
306,37737,Brendon McCullum,PULL,511,223,13,39.31,229.15
307,33335,Suresh Raina,ON_DRIVE,508,380,17,29.88,133.68
308,53116,Lendl Simmons,FLICK,507,469,7,72.43,108.1
309,974087,Rahmanullah Gurbaz,ON_DRIVE,507,252,11,46.09,201.19
310,1070173,Shubman Gill,COVER_DRIVE,506,314,9,56.22,161.15
311,10772,Paul Collingwood,VERTICAL_FORWARD_ATTACK,506,384,9,56.22,131.77
312,44828,Faf du Plessis,CUT_SHOT,506,402,15,33.73,125.87
313,25913,Mohammad Nabi,PULL,505,230,18,28.06,219.57
314,226492,Martin Guptill,PULL,505,218,19,26.58,231.65
315,604302,Nicholas Pooran,SLOG_SHOT,504,223,32,15.75,226.01
316,629074,Kusal Mendis,PULL,504,240,23,21.91,210.0
317,625371,Hardik Pandya,FLICK,502,360,25,20.08,139.44
318,56143,Shakib Al Hasan,ON_DRIVE,502,400,15,33.47,125.5
319,44936,AB de Villiers,PULL,500,193,13,38.46,259.07
320,605575,Matthew Short,PULL,499,201,13,38.38,248.26
321,521637,Ben Duckett,PULL_HOOK_ON_BACK_FOOT,499,276,14,35.64,180.8
322,262456,Dane Vilas,VERTICAL_FORWARD_ATTACK,499,405,25,19.96,123.21
323,436757,Heinrich Klaasen,ON_DRIVE,499,333,18,27.72,149.85
324,21577,Peter Trego,VERTICAL_FORWARD_ATTACK,494,385,22,22.45,128.31
325,772293,Michael Pepper,VERTICAL_FORWARD_ATTACK,494,324,17,29.06,152.47
326,30045,Dinesh Karthik,FLICK,493,381,17,29.0,129.4
327,321777,David Miller,SLOG_SHOT,493,193,27,18.26,255.44
328,8917,Moeen Ali,ON_DRIVE,493,302,18,27.39,163.25
329,56025,Mahmudullah,FLICK,492,451,9,54.67,109.09
330,297433,Jonny Bairstow,ON_DRIVE,489,299,13,37.62,163.55
331,823509,Glenn Phillips,FLICK,489,461,14,34.93,106.07
332,892749,Tim David,SLOG_SHOT,489,174,24,20.38,281.03
333,253802,Virat Kohli,CUT_SHOT,489,353,11,44.45,138.53
334,230193,Matthew Wade,COVER_DRIVE,489,317,12,40.75,154.26
335,470501,Graham Clark,PULL_HOOK_ON_BACK_FOOT,488,218,15,32.53,223.85
336,1112537,Jordan Cox,VERTICAL_FORWARD_ATTACK,487,362,15,32.47,134.53
337,571911,Joe Clarke,PULL_HOOK_ON_BACK_FOOT,486,237,20,24.3,205.06
338,512191,Fakhar Zaman,SLOG_SHOT,485,207,29,16.72,234.3
339,308967,Jos Buttler,CUT_SHOT,485,375,6,80.83,129.33
340,41434,Mohammad Hafeez,PULL,484,269,23,21.04,179.93
341,512191,Fakhar Zaman,PULL,483,261,24,20.12,185.06
342,670025,Shimron Hetmyer,COVER_DRIVE,483,359,22,21.95,134.54
343,665053,Zak Crawley,VERTICAL_FORWARD_ATTACK,481,320,13,37.0,150.31
344,276298,Andre Russell,COVER_DRIVE,479,249,13,36.85,192.37
